smiles,EF,SA,KP,AB,PA,BW,DKO
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0.967042388,1.011532334,1.071193229,0.960985355,1.038863616,1.025070541,1.022753215
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,0.79557203,0.999122665,1.323042981,1.0545152,1.014431911,0.974908495,1.048626436
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.03764783,1.014706901,1.036693098,0.97618012,1.041960593,1.033555717,1.043299597
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,1.01999647,1.001431441,1.045016375,0.986627411,1.053660282,1.063072284,0.122517312
C1CCN2CC3CC(CN4CCCCC34)C2C1,0.993519429,1.013552513,1.007764868,1.028930831,1.01236726,1.069706299,1.117114375
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,1.272158761,0.137372152,1.022873249,0.357544911,0.463858282,0.44743996,0.714557492
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,0.151297375,0.030591277,1.062454116,0.635400058,0.980021059,0.512736983,0.093600183
O=C(O)CC[N+](=O)[O-],1.023778904,0.950061183,1.038122958,0.951492534,0.971418346,0.821835586,0.99535804
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,1.001084298,1.027982361,1.017194737,0.984833062,1.024411058,1.013651154,1.07906552
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.004866732,1.039526239,1.040835024,0.975617975,0.993441292,1.037248488,1.085153337
